open_broker_time,close_broker_time,broker_hour,ticket,kind,side,lots,entry,net_pnl,hold_seconds,gap_from_prev_close_s,cumulative_pnl,outcome
2026-05-15 08:32:17,2026-05-15 08:34:28,8,52187288,PROBE,SELL,0.01,4572.85,3.51,131,-12,322.67,WIN
2026-05-15 08:32:30,2026-05-15 08:32:43,8,52187444,PROBE,SELL,0.01,4576.36,1.6,13,-118,324.27,WIN
2026-05-15 08:32:38,2026-05-15 08:32:42,8,52187512,MAIN,SELL,0.4,4574.93,6.4,4,-5,330.67,WIN
2026-05-15 08:32:43,2026-05-15 08:34:26,8,52187582,PROBE,SELL,0.01,4574.16,3.33,103,1,334.0,WIN
2026-05-15 08:33:42,2026-05-15 08:34:26,8,52187849,MAIN,SELL,0.4,4572.48,67.2,44,-44,401.2,WIN
2026-05-15 08:34:25,2026-05-15 08:34:28,8,52188115,MAIN,SELL,0.4,4570.95,73.6,3,-1,474.8,WIN
2026-05-15 08:34:26,2026-05-15 08:34:28,8,52188182,PROBE,SELL,0.01,4570.4,1.06,2,-2,475.86,WIN
2026-05-15 08:34:27,2026-05-15 08:34:28,8,52188231,MAIN,SELL,0.4,4569.21,-13.2,1,-1,462.66,LOSS
2026-05-15 08:35:50,2026-05-15 08:35:51,8,52188942,MAIN,SELL,0.4,4565.96,15.2,1,82,477.86,WIN
2026-05-15 08:35:51,2026-05-15 08:36:07,8,52188992,MAIN,SELL,0.4,4565.38,-15.6,16,0,462.26,LOSS
2026-05-15 08:35:52,2026-05-15 08:36:43,8,52189020,PROBE,SELL,0.01,4565.46,-2.99,51,-15,459.27,LOSS
2026-05-15 08:36:07,2026-05-15 08:36:43,8,52189157,PROBE,SELL,0.01,4565.54,-2.87,36,-36,456.4,LOSS
2026-05-15 08:36:14,2026-05-15 08:36:42,8,52189229,MAIN,SELL,0.4,4564.21,-163.2,28,-29,293.2,LOSS
2026-05-15 08:36:14,2026-05-15 08:36:42,8,52189230,MAIN,SELL,0.4,4564.22,-162.8,28,-28,130.4,LOSS
2026-05-15 08:36:43,2026-05-15 08:37:51,8,52189396,PROBE,SELL,0.01,4568.31,1.61,68,1,132.01,WIN
2026-05-15 08:36:44,2026-05-15 08:37:52,8,52189415,PROBE,SELL,0.01,4568.25,1.83,68,-67,133.84,WIN
2026-05-15 08:37:49,2026-05-15 08:37:52,8,52189903,MAIN,SELL,0.4,4566.6,7.2,3,-3,141.04,WIN
2026-05-15 08:37:50,2026-05-15 08:37:50,8,52189905,MAIN,SELL,0.4,4566.83,3.2,0,-2,144.24,WIN
2026-05-15 08:38:00,2026-05-15 08:38:04,8,52190123,PROBE,SELL,0.01,4566.31,2.08,4,10,146.32,WIN
2026-05-15 08:38:02,2026-05-15 08:38:33,8,52190155,PROBE,SELL,0.01,4565.58,-2.4,31,-2,143.92,LOSS
2026-05-15 08:38:03,2026-05-15 08:38:04,8,52190164,MAIN,SELL,0.4,4565.03,10.8,1,-30,154.72,WIN
2026-05-15 08:38:03,2026-05-15 08:38:32,8,52190183,MAIN,SELL,0.4,4563.82,-172.0,29,-1,-17.28,LOSS
2026-05-15 08:38:33,2026-05-15 08:38:40,8,52190390,PROBE,SELL,0.01,4567.81,1.7,7,1,-15.58,WIN
2026-05-15 08:38:36,2026-05-15 08:38:40,8,52190428,MAIN,SELL,0.4,4566.19,5.6,4,-4,-9.98,WIN
2026-05-15 08:38:40,2026-05-15 08:39:30,8,52190477,PROBE,SELL,0.01,4566.18,-2.47,50,0,-12.45,LOSS
2026-05-15 08:39:09,2026-05-15 08:39:30,8,52190695,MAIN,SELL,0.4,4564.68,-156.0,21,-21,-168.45,LOSS
2026-05-15 08:41:21,2026-05-15 08:42:05,8,52191818,MAIN,BUY,0.4,4575.24,-152.8,44,111,-321.25,LOSS
2026-05-15 08:42:05,2026-05-15 08:42:21,8,52191987,PROBE,BUY,0.01,4571.62,1.5,16,0,-319.75,WIN
2026-05-15 08:42:18,2026-05-15 08:42:20,8,52192141,MAIN,BUY,0.4,4572.81,10.8,2,-3,-308.95,WIN
2026-05-15 08:42:21,2026-05-15 08:43:43,8,52192149,PROBE,BUY,0.01,4573.31,-2.69,82,1,-311.64,LOSS
2026-05-15 08:43:13,2026-05-15 08:43:43,8,52192285,MAIN,BUY,0.4,4574.3,-143.2,30,-30,-454.84,LOSS
2026-05-15 08:43:43,2026-05-15 08:44:55,8,52192342,PROBE,SELL,0.01,4570.63,1.71,72,0,-453.13,WIN
2026-05-15 08:44:54,2026-05-15 08:44:55,8,52192565,MAIN,SELL,0.4,4569.33,0.0,1,-1,-453.13,FLAT
2026-05-15 08:44:55,2026-05-15 08:45:07,8,52192674,PROBE,SELL,0.01,4568.65,1.55,12,0,-451.58,WIN
2026-05-15 08:45:05,2026-05-15 08:45:06,8,52192890,MAIN,SELL,0.4,4567.21,10.8,1,-2,-440.78,WIN
2026-05-15 08:45:07,2026-05-15 08:46:01,8,52192948,PROBE,SELL,0.01,4566.65,-2.95,54,1,-443.73,LOSS
2026-05-15 08:45:09,2026-05-15 08:46:01,8,52193018,MAIN,SELL,0.4,4565.39,-167.2,52,-52,-610.93,LOSS
2026-05-15 08:46:01,2026-05-15 08:46:18,8,52193247,PROBE,SELL,0.01,4569.32,1.87,17,0,-609.06,WIN
2026-05-15 08:46:17,2026-05-15 08:46:18,8,52193365,MAIN,SELL,0.4,4567.72,13.2,1,-1,-595.86,WIN
2026-05-15 08:47:06,2026-05-15 08:47:24,8,52193948,PROBE,SELL,0.01,4564.93,1.44,18,48,-594.42,WIN
